# Gene set generated on 2025-03-05T19:18:45 using cellxgene version 1.3.0
# Input data file was data/lmna_inhouse.h5ad, which was last modified on 2025-02-19T22:38:45
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop1 high (3/5/2025, 7:18:45 PM)",,IRAG1,
"Pop1 high (3/5/2025, 7:18:45 PM)",,LINC01876,
"Pop1 high (3/5/2025, 7:18:45 PM)",,KC6,
"Pop1 high (3/5/2025, 7:18:45 PM)",,PKD1L1,
"Pop1 high (3/5/2025, 7:18:45 PM)",,RAPGEF5,
"Pop1 high (3/5/2025, 7:18:45 PM)",,CTD-2134P3.1,
"Pop1 high (3/5/2025, 7:18:45 PM)",,NPPA,
"Pop1 high (3/5/2025, 7:18:45 PM)",,STXBP5-AS1,
"Pop1 high (3/5/2025, 7:18:45 PM)",,FGF7,
"Pop1 high (3/5/2025, 7:18:45 PM)",,BUB1B,
"Pop1 high (3/5/2025, 7:18:45 PM)",,ITGAX,
"Pop1 high (3/5/2025, 7:18:45 PM)",,AOAH,
"Pop1 high (3/5/2025, 7:18:45 PM)",,GRM5,
"Pop1 high (3/5/2025, 7:18:45 PM)",,LINC01885,
"Pop1 high (3/5/2025, 7:18:45 PM)",,RP11-125O5.2,
"Pop1 high (3/5/2025, 7:18:45 PM)",,MYOM1,
"Pop1 high (3/5/2025, 7:18:45 PM)",,FAM107B,
"Pop1 high (3/5/2025, 7:18:45 PM)",,FCGBP,
"Pop1 high (3/5/2025, 7:18:45 PM)",,HCRTR2,
"Pop1 high (3/5/2025, 7:18:45 PM)",,MUC16,
"Pop1 high (3/5/2025, 7:18:45 PM)",,RP5-847G17.1,
"Pop1 high (3/5/2025, 7:18:45 PM)",,PLPP4,
"Pop1 high (3/5/2025, 7:18:45 PM)",,MMP2,
"Pop1 high (3/5/2025, 7:18:45 PM)",,AP000705.7,
"Pop1 high (3/5/2025, 7:18:45 PM)",,SLC7A11,
"Pop1 high (3/5/2025, 7:18:45 PM)",,FNIP2,
"Pop1 high (3/5/2025, 7:18:45 PM)",,NR4A1,
"Pop1 high (3/5/2025, 7:18:45 PM)",,NTNG1,
"Pop1 high (3/5/2025, 7:18:45 PM)",,TRABD2B,
"Pop1 high (3/5/2025, 7:18:45 PM)",,ADIPOQ,
"Pop1 high (3/5/2025, 7:18:45 PM)",,RTN1,
"Pop1 high (3/5/2025, 7:18:45 PM)",,RP11-485I9.1,
"Pop1 high (3/5/2025, 7:18:45 PM)",,CHST15,
"Pop1 high (3/5/2025, 7:18:45 PM)",,SALL3,
"Pop1 high (3/5/2025, 7:18:45 PM)",,ABI3BP,
"Pop1 high (3/5/2025, 7:18:45 PM)",,SIPA1L1,
"Pop1 high (3/5/2025, 7:18:45 PM)",,HYAL4,
"Pop1 high (3/5/2025, 7:18:45 PM)",,RP11-120D5.1,
"Pop1 high (3/5/2025, 7:18:45 PM)",,IGFBP6,
"Pop1 high (3/5/2025, 7:18:45 PM)",,SLC16A12,
"Pop1 high (3/5/2025, 7:18:45 PM)",,DLGAP1,
"Pop1 high (3/5/2025, 7:18:45 PM)",,MAMDC2,
"Pop1 high (3/5/2025, 7:18:45 PM)",,BASP1,
"Pop1 high (3/5/2025, 7:18:45 PM)",,CD96,
